# VOTING_WINDOW [53794570,53804570]  (inclusive)
validator_owner,validator_ad_app_id,status,delegators,total_yes,total_no,total_none,last_in_window_round,validator_state
CSKHMIBF7E4SWV7FLIKO732EIK7U4VP2S3TXYJGMVK2IVM7MH2H5Z7L7H4,2772444041,UNKNOWN,0,0,0,0,,NOT_LIVE
CSKHMIBF7E4SWV7FLIKO732EIK7U4VP2S3TXYJGMVK2IVM7MH2H5Z7L7H4,2833969923,UNKNOWN,0,0,0,0,,READY
CSKHMIBF7E4SWV7FLIKO732EIK7U4VP2S3TXYJGMVK2IVM7MH2H5Z7L7H4,2833998052,UNKNOWN,0,0,0,0,,NOT_READY
DXMQIHXQZQLLFN6E2MPARXM2PM5GENKUTYL5TF2AZKTEU3UM7YZA2IEW5Q,3185688941,UNKNOWN,0,0,0,0,,READY
DXMQIHXQZQLLFN6E2MPARXM2PM5GENKUTYL5TF2AZKTEU3UM7YZA2IEW5Q,3193424234,UNKNOWN,0,0,0,0,,READY
ELATX4CXWEFQBQR5J2UX6RZPTFCSH2DMPSLQ6YQNSFQW3H4SAUVEGNBCZI,2748723042,UNKNOWN,0,0,0,0,,CREATED
F6XEIG5IN7NY4ANN3BBYHU36CLGYVA44GMCNINPIEWPNDW5UL5WYWGICBY,2738733669,UNKNOWN,0,0,0,0,,NOT_LIVE
FKSHWENQDT26HCH23YY5LZUKEG7LLBWDGWOKOLUQZ4FTHYO6GDWT6CMZT4,2721849335,UNKNOWN,0,0,0,0,,NOT_READY
FRGXADNL6M44WF27ABB6AARTHFHKSXY4L62ETEUBTFRKDREXPWW7FL3GSI,2738896808,UNKNOWN,0,0,0,0,,NOT_LIVE
G5CERUJERYYRRNEADCRPC3IJZZ3CYIHJN5RV4VOEFDIGJYGXL6O7Y4O23I,3169464159,UNKNOWN,0,0,0,0,,NOT_READY
GSJKCBYC6X4S3NFQQUKT6TTSXL7JXYYCJKKYJLKT4FRHEBA6U7N3FMOCKQ,2938693415,UNKNOWN,0,0,0,0,,READY
GSJKCBYC6X4S3NFQQUKT6TTSXL7JXYYCJKKYJLKT4FRHEBA6U7N3FMOCKQ,2957110090,UNKNOWN,0,0,0,0,,READY
GSJKCBYC6X4S3NFQQUKT6TTSXL7JXYYCJKKYJLKT4FRHEBA6U7N3FMOCKQ,2957121336,UNKNOWN,0,0,0,0,,READY
GSJKCBYC6X4S3NFQQUKT6TTSXL7JXYYCJKKYJLKT4FRHEBA6U7N3FMOCKQ,2957122466,UNKNOWN,0,0,0,0,,READY
GSJKCBYC6X4S3NFQQUKT6TTSXL7JXYYCJKKYJLKT4FRHEBA6U7N3FMOCKQ,2957123138,UNKNOWN,0,0,0,0,,READY
GSJKCBYC6X4S3NFQQUKT6TTSXL7JXYYCJKKYJLKT4FRHEBA6U7N3FMOCKQ,2957131140,UNKNOWN,0,0,0,0,,READY
GSJKCBYC6X4S3NFQQUKT6TTSXL7JXYYCJKKYJLKT4FRHEBA6U7N3FMOCKQ,2957133624,UNKNOWN,0,0,0,0,,READY
GSJKCBYC6X4S3NFQQUKT6TTSXL7JXYYCJKKYJLKT4FRHEBA6U7N3FMOCKQ,2957135188,UNKNOWN,0,0,0,0,,READY
GSJKCBYC6X4S3NFQQUKT6TTSXL7JXYYCJKKYJLKT4FRHEBA6U7N3FMOCKQ,2957136699,UNKNOWN,0,0,0,0,,READY
